,Code commune,Libellé commune,Code BV,id_bv,MARECHAL_eur,AUBRY_eur,BARDELLA_eur,TOUSSAINT_eur,HAYER_eur,BELLAMY_eur,GLUCKSMANN_eur,DEFFONTAINES_eur,Votants_eur,Blancs_eur,Nuls_eur,Inscrits_eur,TOUNSI_t1,GAILLARD_t1,ISNARD_t1,BREGEON_t1,PRETO_t1,YVARS_t1,MARTIN_t1,Votants_t1,Blancs_t1,Nuls_t1,Inscrits_t1,GAILLARD_t2,BREGEON_t2,Votants_t2,Blancs_t2,Nuls_t2,Inscrits_t2,evolution_Gaillard_t1_t2_abs,evolution_Gaillard_t1_t2_pct,evolution_Bregeon_t1_t2_abs,evolution_Bregeon_t1_t2_pct,evolution_Participation_t1_t2_abs,evolution_Participation_t1_t2_pct,evolution_Blancs_t1_t2_abs,evolution_Blancs_t1_t2_pct,evolution_BregeonIsnard_t1_t2_abs,evolution_BregeonIsnard_t1_t2_pct,evolution_NFP_eur_t1_abs,evolution_NFP_eur_t1_pct,evolution_LREM_eur_t1_abs,evolution_LREM_eur_t1_pct,evolution_LR_eur_t1_abs,evolution_LR_eur_t1_pct,evolution_RN_eur_t1_abs,evolution_RN_eur_t1_pct,evolution_Reqt_eur_t1_abs,evolution_Reqt_eur_t1_pct,evolution_EXD_eur_t1_abs,evolution_EXD_eur_t1_pct,evolution_Participation_eur_t1_abs,evolution_Participation_eur_t1_pct,evolution_Blancs_eur_t1_abs,evolution_Blancs_eur_t1_pct
16,92002,Antony,17,92002_17,31,41,98,54,146,87,143,9,671,7,0,994,10,239,53,340,13,118,0,786,13,0,990,243,472,759,44,0,991,4,0.4024144869215292,132,13.279678068410464,-27,-2.716297786720322,31,3.118712273641851,79,7.947686116700201,-8,-0.8048289738430584,194,19.517102615694164,-34,-3.420523138832998,20,2.0120724346076457,-18,-1.8108651911468814,2,0.2012072434607646,115,11.569416498993963,6,0.6036217303822937
17,92002,Antony,18,92002_18,32,46,72,47,155,80,137,7,636,5,0,925,1,239,49,359,3,94,2,758,11,0,918,248,446,726,32,0,918,9,0.9729729729729729,87,9.405405405405405,-32,-3.4594594594594597,21,2.27027027027027,38,4.108108108108108,2,0.21621621621621623,204,22.054054054054053,-31,-3.3513513513513513,22,2.3783783783783785,-29,-3.135135135135135,-7,-0.7567567567567568,122,13.189189189189191,6,0.6486486486486486
18,92002,Antony,19,92002_19,38,84,98,42,118,71,88,9,603,8,0,975,7,228,53,269,13,133,2,727,22,0,968,244,384,674,46,0,968,16,1.641025641025641,115,11.794871794871794,-53,-5.435897435897436,24,2.4615384615384617,62,6.3589743589743595,5,0.5128205128205128,151,15.487179487179487,-18,-1.8461538461538463,35,3.5897435897435894,-25,-2.564102564102564,10,1.0256410256410255,124,12.717948717948719,14,1.435897435897436
19,92002,Antony,20,92002_20,21,56,63,72,138,85,121,19,627,6,0,934,7,272,43,329,7,82,3,755,12,0,927,270,409,713,34,0,927,-2,-0.21413276231263384,80,8.565310492505352,-42,-4.496788008565311,22,2.355460385438972,37,3.961456102783726,4,0.4282655246252677,191,20.449678800856532,-42,-4.496788008565311,19,2.0342612419700217,-14,-1.4989293361884368,5,0.5353319057815845,128,13.704496788008566,6,0.6423982869379015
20,92002,Antony,21,92002_21,37,47,54,50,95,56,92,9,489,6,0,749,6,184,32,253,7,76,4,575,13,0,744,195,324,545,26,0,744,11,1.4686248331108143,71,9.479305740987984,-30,-4.005340453938585,13,1.7356475300400533,39,5.2069425901201605,-14,-1.8691588785046727,158,21.09479305740988,-24,-3.204272363150868,22,2.9372496662216285,-30,-4.005340453938585,-8,-1.0680907877169559,86,11.481975967957277,7,0.9345794392523363
21,92002,Antony,22,92002_22,33,61,65,54,104,55,97,12,529,4,0,789,3,219,24,240,7,94,3,603,13,0,769,214,322,552,16,0,769,-5,-0.6337135614702154,82,10.392902408111533,-51,-6.4638783269961975,3,0.38022813688212925,58,7.3510773130545,-5,-0.6337135614702154,136,17.23700887198986,-31,-3.929024081115336,29,3.67553865652725,-26,-3.2953105196451205,3,0.38022813688212925,74,9.37896070975919,9,1.1406844106463878
22,92002,Antony,23,92002_23,22,83,84,37,48,31,58,8,427,9,0,855,16,270,14,113,6,116,3,563,25,0,845,290,195,523,38,0,845,20,2.3391812865497075,82,9.5906432748538,-40,-4.678362573099415,13,1.5204678362573099,68,7.953216374269006,84,9.824561403508772,65,7.602339181286549,-17,-1.9883040935672516,32,3.7426900584795324,-16,-1.8713450292397662,16,1.8713450292397662,136,15.906432748538013,16,1.8713450292397662
23,92002,Antony,24,92002_24,26,49,54,53,122,64,129,11,571,8,0,917,13,246,41,305,4,93,4,718,12,0,910,259,385,679,35,0,910,13,1.4176663031624863,80,8.724100327153762,-39,-4.252998909487459,23,2.5081788440567068,39,4.252998909487459,4,0.43620501635768816,183,19.95637949836423,-23,-2.5081788440567068,39,4.252998909487459,-22,-2.399127589967285,17,1.8538713195201746,147,16.030534351145036,4,0.43620501635768816
24,92002,Antony,25,92002_25,34,70,74,54,134,93,105,14,641,11,0,955,7,266,45,307,10,103,1,758,19,0,953,257,402,698,39,0,953,-9,-0.9424083769633508,95,9.947643979057592,-60,-6.282722513089005,20,2.094240837696335,50,5.2356020942408374,23,2.408376963350785,173,18.1151832460733,-48,-5.026178010471204,29,3.0366492146596857,-24,-2.513089005235602,5,0.5235602094240838,117,12.25130890052356,8,0.8376963350785341
25,92002,Antony,26,92002_26,32,118,92,62,134,62,109,18,694,10,0,1136,13,313,54,284,7,129,8,826,18,0,1125,353,371,781,57,0,1125,40,3.5211267605633805,87,7.658450704225352,-45,-3.961267605633803,39,3.433098591549296,33,2.9049295774647885,6,0.528169014084507,150,13.204225352112676,-8,-0.7042253521126761,37,3.2570422535211265,-25,-2.2007042253521125,12,1.056338028169014,132,11.619718309859154,8,0.7042253521126761
26,92002,Antony,27,92002_27,16,89,69,24,55,21,56,10,396,8,0,832,12,251,15,126,2,87,4,523,26,0,821,283,170,481,28,0,821,32,3.8461538461538463,44,5.288461538461538,-42,-5.048076923076923,2,0.2403846153846154,29,3.4855769230769234,72,8.653846153846153,71,8.533653846153847,-6,-0.7211538461538461,18,2.1634615384615383,-14,-1.6826923076923077,4,0.4807692307692308,127,15.264423076923078,18,2.1634615384615383
